region,device_RAM,device_storage,new_price_dollars,device_category,condition_category,months_used,tradein_value_dollars
Online Sales,6,64,839.0,group3_samsung_highend,fair,55,92.28999999999999
Online Sales,3,64,999.0,group1_apple,fair,60,179.82000000000005
Online Sales,6,64,839.0,group3_samsung_highend,good,55,109.07000000000001
Online Sales,3,256,899.0,group1_apple,fair,48,197.77999999999997
Lagos Mainland,6,128,599.0,group3_samsung_highend,good,27,173.71
South East and Delta,6,128,145.0,group6_transsion,good,24,43.50000000000001
Lagos Mainland,4,128,189.0,group6_transsion,fair,12,73.71000000000001
South South,4,128,155.59,group6_transsion,good,15,46.67700000000001
Lagos Island,4,64,130.0,group5_samsung_lowend,good,11,54.60000000000001
Lagos Mainland,8,256,278.0,group6_transsion,fair,12,108.42
Lagos Mainland,3,32,159.0,group5_samsung_lowend,good,14,47.70000000000001
Lagos Mainland,4,64,137.74,group6_transsion,fair,28,27.547999999999995
South South,4,128,189.0,group6_transsion,good,12,79.38000000000001
Lagos Mainland,6,128,999.0,group3_samsung_highend,good,25,289.71000000000004
West,4,128,191.6,group5_samsung_lowend,fair,8,74.724
Lagos Mainland,3,64,116.88,group6_transsion,fair,6,45.5832
West,6,128,395.18,group4_samsung_midrange,good,7,185.7346
South East and Delta,2,32,89.93,group7_others,good,1,37.77060000000001
Lagos Mainland,2,32,89.93,group6_transsion,good,12,37.77060000000001
Lagos Island,2,32,110.85,group7_others,good,27,24.386999999999997
Lagos Mainland,6,128,599.0,group3_samsung_highend,good,28,173.71
Lagos Mainland,6,128,196.0,group5_samsung_lowend,good,23,58.80000000000001
Lagos Mainland,4,64,129.7,group6_transsion,fair,3,50.583
Lagos Mainland,2,64,136.25,group6_transsion,fair,8,53.1375
South South,8,128,275.24,group7_others,fair,6,107.34360000000001
Lagos Mainland,4,128,160.62,group6_transsion,good,3,67.4604
South East and Delta,4,128,189.0,group6_transsion,good,12,79.38000000000001
South East and Delta,4,128,174.85,group6_transsion,good,6,73.437
Lagos Mainland,3,32,112.36,group6_transsion,good,28,24.719199999999997
South East and Delta,3,128,869.0,group1_apple,good,75,86.89999999999998
Lagos Mainland,4,128,185.98,group6_transsion,good,4,78.11160000000001
West,2,32,80.69,group6_transsion,fair,13,22.593200000000003
Lagos Mainland,4,128,185.98,group6_transsion,good,4,78.11160000000001
South East and Delta,2,32,100.95,group7_others,good,19,30.285000000000004
Lagos Mainland,2,32,84.46,group6_transsion,good,38,12.669
Lagos Mainland,4,64,119.58,group6_transsion,fair,22,33.482400000000005
Lagos Mainland,2,32,83.83,group6_transsion,fair,12,32.6937
Lagos Mainland,4,64,106.44,group7_others,good,19,31.932000000000006
West,2,32,80.69,group6_transsion,good,22,24.207000000000004
South East and Delta,8,128,203.59,group6_transsion,good,17,61.07700000000001
South East and Delta,8,128,294.85,group6_transsion,good,26,64.86699999999999
South South,4,128,155.59,group6_transsion,good,19,46.67700000000001
South East and Delta,4,64,131.0,group6_transsion,good,11,55.02
West,2,32,85.5,group6_transsion,fair,27,17.099999999999998
Lagos Mainland,8,256,1049.0,group2_samsung_premium,fair,39,167.84000000000003
South South,2,32,89.93,group7_others,good,2,37.77060000000001
Lagos Mainland,3,32,97.25,group5_samsung_lowend,good,12,40.845000000000006
Lagos Island,2,32,83.83,group6_transsion,good,13,25.149000000000004
South East and Delta,8,128,196.05,group6_transsion,good,12,82.34100000000001
West,1,16,74.66,group6_transsion,fair,16,20.9048
Lagos Mainland,3,32,130.0,group5_samsung_lowend,good,12,54.60000000000001
South South,8,256,262.19,group6_transsion,good,4,110.11980000000001
Lagos Mainland,2,32,80.69,group6_transsion,fair,12,31.4691
South South,4,64,125.7,group6_transsion,fair,12,49.023
West,6,128,599.0,group3_samsung_highend,fair,28,155.74
South South,4,128,180.0,group6_transsion,good,12,75.60000000000001
Lagos Mainland,2,32,95.82,group6_transsion,fair,40,12.4566
North,8,256,209.21,group6_transsion,fair,6,81.59190000000001
West,4,64,125.93,group7_others,good,34,27.7046
Lagos Mainland,4,64,116.88,group6_transsion,fair,18,32.726400000000005
Lagos Island,2,32,89.73,group7_others,good,24,26.919000000000004
