device_price,device_brand,device_ram,device_storage,sap_sentinel_price
124500,Samsung,4,128,17000.0
124000,Samsung,4,128,17000.0
122000,Samsung,4,128,14000.0
99500,Samsung,4,128,17000.0
99500,Samsung,4,128,17000.0
99500,Samsung,4,128,17000.0
116600,Samsung,4,128,20000.0
366000,Samsung,12,128,45000.0
366000,Samsung,12,128,45000.0
380000,Samsung,8,128,45000.0
102000,Samsung,4,128,18000.0
105000,Samsung,4,128,18000.0
104400,Samsung,4,128,18000.0
151500,Samsung,6,128,23000.0
174000,Samsung,6,128,23000.0
174000,Samsung,6,128,23000.0
151000,Samsung,6,128,23000.0
151500,Samsung,6,128,23000.0
151500,Samsung,6,128,23000.0
151500,Samsung,6,128,23000.0
151500,Samsung,6,128,23000.0
151500,Samsung,6,128,23000.0
151500,Samsung,6,128,23000.0
151500,Samsung,6,128,23000.0
155000,Samsung,6,128,24000.0
201600,Samsung,6,128,24000.0
99000,Samsung,6,128,13000.0
99900,Samsung,6,128,13000.0
99900,Samsung,6,128,13000.0
95000,Samsung,6,128,13000.0
99500,Samsung,6,128,13000.0
99900,Samsung,6,128,13000.0
99900,Samsung,6,128,13000.0
99000,Samsung,6,128,13000.0
87700,Samsung,6,128,13000.0
86000,Samsung,6,128,13000.0
86000,Samsung,6,128,13000.0
86000,Samsung,6,128,13000.0
86000,Samsung,6,128,14000.0
86000,Samsung,6,128,14000.0
89100,Samsung,6,128,14000.0
89100,Samsung,6,128,14000.0
89100,Samsung,6,128,14000.0
91100,Samsung,6,128,14000.0
99000,Samsung,6,128,14000.0
91000,Samsung,6,128,14000.0
105400,Samsung,6,128,15000.0
53500,Samsung,3,32,11000.0
60000,Samsung,3,32,11000.0
71000,Samsung,4,64,14000.0
88900,Samsung,4,64,21000.0
445000,Samsung,12,256,54000.0
73000,Samsung,4,64,12000.0
580000,Samsung,12,128,75000.0
580000,Samsung,12,128,75000.0
580000,Samsung,12,128,75000.0
580000,Samsung,12,128,75000.0
629000,Samsung,12,128,75000.0
580000,Samsung,12,128,75000.0
580000,Samsung,12,128,75000.0
629000,Samsung,12,128,75000.0
580000,Samsung,12,128,75000.0
580000,Samsung,12,128,75000.0
490000,Samsung,12,128,75000.0
580000,Samsung,12,128,75000.0
575000,Samsung,12,128,75000.0
575000,Samsung,12,128,75000.0
580000,Samsung,12,128,75000.0
490000,Samsung,12,128,75000.0
580000,Samsung,12,128,75000.0
510000,Samsung,12,128,75000.0
580000,Samsung,12,128,75000.0
559000,Samsung,12,128,75000.0
572500,Samsung,12,128,75000.0
572500,Samsung,12,128,75000.0
565000,Samsung,12,128,75000.0
625000,Samsung,12,128,90000.0
669000,Samsung,12,128,90000.0
693000,Samsung,12,128,90000.0
693000,Samsung,12,128,90000.0
520500,Samsung,12,256,70000.0
510500,Samsung,12,256,66000.0
520500,Samsung,12,256,66000.0
538000,Samsung,12,256,66000.0
525000,Samsung,12,256,66000.0
